EID ,key ,direction ,time
0,Key.tab,0,1651155988939032000
1,Key.tab,1,1651155989150108000
2,Key.cmd,1,1651155989218336000
3,<0>,1,1651155989476929000
4,'f',0,1651155992846299000
5,'f',1,1651155992945582000
6,'a',0,1651155992958025000
7,'a',1,1651155993041117000
8,'c',0,1651155993075587000
9,'c',1,1651155993179399000
10,'e',0,1651155993258498000
11,'e',1,1651155993382178000
12,'f',0,1651156006795706000
13,'f',1,1651156006879060000
14,'d',0,1651156007901111000
15,'d',1,1651156007964913000
16,'i',0,1651156008006616000
17,'i',1,1651156008091232000
18,Key.backspace,0,1651156022238697000
19,Key.backspace,1,1651156022294620000
20,Key.backspace,0,1651156022353159000
21,Key.backspace,1,1651156022445492000
22,'p',0,1651156023036322000
23,'p',1,1651156023144501000
24,'d',0,1651156023556481000
25,'d',1,1651156023648383000
26,'1',0,1651156024797407000
27,'1',1,1651156024920692000
28,'s',0,1651156025389285000
29,'s',1,1651156025505274000
30,'o',0,1651156025569164000
31,'o',1,1651156025653326000
32,'c',0,1651156025776978000
33,'c',1,1651156025869384000
34,'i',0,1651156025929000000
35,'i',1,1651156026009438000
36,'a',0,1651156026102043000
37,'a',1,1651156026170352000
38,'l',0,1651156026235848000
39,'l',1,1651156026301261000
40,Key.shift,0,1651156028240211000
41,'@',0,1651156029612569000
42,'@',1,1651156029711689000
43,Key.shift,1,1651156029804160000
44,'g',0,1651156030548189000
45,'g',1,1651156030628168000
46,'m',0,1651156030825917000
47,'m',1,1651156030938474000
48,'a',0,1651156030945417000
49,'a',1,1651156031066225000
50,'i',0,1651156031097459000
51,'i',1,1651156031169898000
52,'l',0,1651156031288012000
53,'l',1,1651156031387962000
54,'.',0,1651156031882331000
55,'.',1,1651156031998615000
56,'c',0,1651156032156992000
57,'c',1,1651156032225381000
58,'o',0,1651156032284797000
59,'o',1,1651156032378380000
60,'m',0,1651156032521988000
61,'m',1,1651156032652862000
62,Key.shift,0,1651156038570997000
63,Key.shift,1,1651156039034938000
64,Key.shift,0,1651156043606768000
65,Key.shift,1,1651156044050893000
66,Key.shift,0,1651156092769833000
67,'I',0,1651156092931025000
68,'I',1,1651156093034628000
69,Key.shift,1,1651156093122999000
70,Key.space,0,1651156093403914000
71,Key.space,1,1651156093519119000
72,'b',0,1651156093734451000
73,'b',1,1651156093818438000
74,'e',0,1651156093990855000
75,'e',1,1651156094054991000
76,'l',0,1651156094133524000
77,'l',1,1651156094205670000
78,'e',0,1651156094216895000
79,'e',1,1651156094277781000
80,Key.backspace,0,1651156094903797000
81,Key.backspace,1,1651156094999099000
82,'i',0,1651156095181912000
83,'o',0,1651156095184108000
84,'o',1,1651156095211527000
85,'i',1,1651156095248990000
86,Key.backspace,0,1651156096173683000
87,Key.backspace,1,1651156096309756000
88,'e',0,1651156096616654000
89,'e',1,1651156096681925000
90,'v',0,1651156096698618000
91,'v',1,1651156096765331000
92,'e',0,1651156096774155000
93,'e',1,1651156096855092000
94,Key.space,0,1651156096916531000
95,Key.space,1,1651156097000842000
96,'t',0,1651156097240940000
97,'t',1,1651156097315431000
98,'h',0,1651156097410515000
99,'h',1,1651156097494732000
100,'a',0,1651156097523528000
101,'a',1,1651156097591998000
102,'t',0,1651156097636646000
103,'t',1,1651156097692877000
104,Key.space,0,1651156097842564000
105,Key.space,1,1651156097932264000
106,'w',0,1651156098886836000
107,'w',1,1651156098967933000
108,'i',0,1651156099042657000
109,'i',1,1651156099126871000
110,Key.backspace,0,1651156099431887000
111,Key.backspace,1,1651156099470649000
112,Key.backspace,0,1651156099682486000
113,Key.backspace,1,1651156099754868000
114,Key.shift,0,1651156100191932000
115,'W',0,1651156100424623000
116,Key.shift,1,1651156100447500000
117,'w',1,1651156100548924000
118,'i',0,1651156100635585000
119,'i',1,1651156100708322000
120,'l',0,1651156100904561000
121,'l',1,1651156100952439000
122,'l',0,1651156101021701000
123,'l',1,1651156101109728000
124,Key.space,0,1651156101318208000
125,Key.space,1,1651156101416408000
126,Key.shift,0,1651156101705954000
127,'S',0,1651156101918426000
128,Key.shift,1,1651156101937474000
129,'s',1,1651156102038465000
130,'m',0,1651156102050327000
131,'m',1,1651156102122717000
132,'i',0,1651156102247757000
133,'i',1,1651156102306510000
134,'h',0,1651156102869635000
135,'h',1,1651156103000995000
136,Key.backspace,0,1651156103586618000
137,Key.backspace,1,1651156103686921000
138,'t',0,1651156103799447000
139,'t',1,1651156103867659000
140,'h',0,1651156103914494000
141,'h',1,1651156104010332000
142,Key.space,0,1651156104181581000
143,Key.space,1,1651156104289201000
144,'c',0,1651156106426507000
145,'c',1,1651156106502796000
146,'o',0,1651156106520019000
147,'o',1,1651156106597939000
148,'u',0,1651156106735595000
149,'u',1,1651156106820393000
150,'l',0,1651156106971349000
151,'l',1,1651156107043196000
152,'d',0,1651156107095233000
153,'d',1,1651156107166963000
154,Key.space,0,1651156107221194000
155,Key.space,1,1651156107293383000
156,'h',0,1651156107439687000
157,'h',1,1651156107510829000
158,'a',0,1651156107544122000
159,'a',1,1651156107578606000
160,'v',0,1651156107675279000
161,'v',1,1651156107748355000
162,'e',0,1651156107815069000
163,'e',1,1651156107901606000
164,Key.space,0,1651156108449928000
165,Key.space,1,1651156108565265000
166,'c',0,1651156108784262000
167,'c',1,1651156108844021000
168,'h',0,1651156108868273000
169,'h',1,1651156108936582000
170,Key.backspace,0,1651156109343300000
171,Key.backspace,1,1651156109411376000
172,Key.backspace,0,1651156109489361000
173,Key.backspace,1,1651156109597992000
174,'h',0,1651156110018294000
175,'h',1,1651156110098971000
176,'c',0,1651156110244199000
177,'c',1,1651156110316338000
178,Key.backspace,0,1651156110763409000
179,Key.backspace,1,1651156110852178000
180,'a',0,1651156111127222000
181,'a',1,1651156111219504000
182,'n',0,1651156111248946000
183,'n',1,1651156111321100000
184,'d',0,1651156111501335000
185,'d',1,1651156111582571000
186,'l',0,1651156111662058000
187,'l',1,1651156111726051000
188,'e',0,1651156111759887000
189,'e',1,1651156111864493000
190,'s',0,1651156112063126000
191,'s',1,1651156112102326000
192,Key.backspace,0,1651156112898286000
193,Key.backspace,1,1651156112970450000
194,'d',0,1651156113079951000
195,'d',1,1651156113142222000
196,Key.space,0,1651156113226081000
197,Key.space,1,1651156113330453000
198,'t',0,1651156113613388000
199,'t',1,1651156113716529000
200,'h',0,1651156113761859000
201,'h',1,1651156113830103000
202,'e',0,1651156113897982000
203,'e',1,1651156113966067000
204,Key.space,0,1651156113987991000
205,Key.space,1,1651156114059960000
206,'s',0,1651156114361956000
207,'s',1,1651156114466359000
208,'i',0,1651156114530807000
209,'i',1,1651156114612148000
210,'t',0,1651156114880110000
211,'t',1,1651156114975956000
212,'u',0,1651156116493993000
213,'u',1,1651156116561087000
214,'c',0,1651156116993954000
215,'c',1,1651156117122176000
216,'a',0,1651156117349804000
217,'a',1,1651156117470014000
218,'t',0,1651156117476909000
219,'t',1,1651156117554030000
220,Key.backspace,0,1651156118014917000
221,Key.backspace,1,1651156118082278000
222,Key.backspace,0,1651156118161467000
223,Key.backspace,1,1651156118234086000
224,Key.backspace,0,1651156118303907000
225,Key.backspace,1,1651156118408171000
226,Key.backspace,0,1651156118478587000
227,Key.backspace,1,1651156118555224000
228,'u',0,1651156120276901000
229,'u',1,1651156120340947000
230,'a',0,1651156120455594000
231,'a',1,1651156120540227000
232,'t',0,1651156120599760000
233,'t',1,1651156120671352000
